Conf. θₙ ; Φₙ,N=4,N=16,N=64,N=100
-90 ; -45,-88.69,-89.15,-88.76,-86.76
-90 ; -42,-88.71,-89.35,-87.73,-87.89
-90 ; -39,-88.7,-89.72,-89.38,-88.65
-90 ; -36,-88.76,-89.45,-89.63,-88.68
-90 ; -33,-88.74,-89.65,-89.46,-89.42
-90 ; -30,-88.69,-89.51,-89.32,-89.15
-90 ; -27,-88.7,-89.38,-89.76,-88.49
-90 ; -24,-89.21,-89.33,-89.38,-87.91
-90 ; -21,-89.28,-88.98,-87.9,-89.53
-90 ; -18,-89.27,-89.47,-87.04,-88.44
-90 ; -15,-89.22,-89.52,-87.25,-88.18
-90 ; -12,-89.22,-89.54,-87.51,-88.84
-90 ; -9,-89.26,-89.35,-89.69,-88.79
-90 ; -6,-89.52,-89.18,-88.92,-89.89
-90 ; -3,-89.54,-89.77,-88.65,-89.38
-90 ; 0,-89.51,-89.64,-89.44,-89.46
-90 ; 3,-89.52,-89.68,-89.76,-88.83
-90 ; 6,-89.52,-89.38,-89.62,-89.56
-90 ; 9,-88.84,-89.11,-89.58,-88.78
-90 ; 12,-88.85,-89.5,-89.01,-88.56
-90 ; 15,-88.8,-88.89,-87.56,-86.59
-90 ; 18,-88.8,-88.38,-86.1,-87.43
-90 ; 21,-88.83,-88.68,-89.34,-87.23
-90 ; 24,-88.8,-87.36,-86.58,-86.87
-90 ; 27,-88.61,-88.5,-86.59,-84.58
-90 ; 30,-88.65,-88.4,-86.48,-85.18
-90 ; 33,-88.67,-88.21,-85.44,-83.19
-90 ; 36,-88.65,-86.87,-85.1,-88.74
-90 ; 39,-88.65,-89.2,-88.71,-87.4
-90 ; 42,-88.65,-88.87,-87.69,-89.8
-90 ; 45,-88.63,-89.21,-88.78,-89.49
-87 ; -45,-88.65,-89.19,-87.82,-86.63
-87 ; -42,-88.71,-89.38,-87.7,-87.89
-87 ; -39,-88.73,-89.41,-89.39,-88.67
-87 ; -36,-88.71,-89.5,-89.35,-88.63
-87 ; -33,-88.69,-89.58,-89.43,-89.41
-87 ; -30,-88.73,-89.51,-89.44,-89.05
-87 ; -27,-88.64,-89.48,-89.76,-88.42
-87 ; -24,-89.21,-89.36,-89.37,-87.96
-87 ; -21,-89.2,-89.0,-85.82,-89.48
-87 ; -18,-89.28,-89.44,-87.63,-88.16
-87 ; -15,-89.25,-89.44,-86.09,-88.15
-87 ; -12,-89.17,-89.61,-86.55,-88.82
-87 ; -9,-89.22,-89.39,-89.65,-88.77
-87 ; -6,-89.52,-89.22,-89.56,-89.83
-87 ; -3,-89.55,-89.81,-88.94,-89.34
-87 ; 0,-89.47,-89.69,-88.86,-89.55
-87 ; 3,-89.58,-89.81,-89.69,-88.89
-87 ; 6,-89.47,-89.37,-89.61,-89.56
-87 ; 9,-88.86,-89.12,-88.99,-88.83
-87 ; 12,-88.81,-89.52,-89.02,-88.58
-87 ; 15,-88.81,-88.99,-87.81,-86.62
-87 ; 18,-88.89,-88.36,-84.58,-87.44
-87 ; 21,-88.8,-88.67,-89.06,-86.4
-87 ; 24,-88.87,-87.35,-86.61,-86.83
-87 ; 27,-88.6,-88.49,-87.51,-84.56
-87 ; 30,-88.63,-88.35,-86.69,-85.16
-87 ; 33,-88.65,-88.25,-85.44,-83.28
-87 ; 36,-88.62,-86.86,-85.34,-88.67
-87 ; 39,-88.65,-89.27,-89.16,-84.05
-87 ; 42,-88.64,-88.92,-87.95,-89.57
-87 ; 45,-88.68,-89.19,-89.06,-89.45
-84 ; -45,-88.67,-88.29,-88.09,-88.54
-84 ; -42,-88.69,-88.51,-88.26,-87.69
-84 ; -39,-88.74,-88.52,-88.58,-88.58
-84 ; -36,-88.71,-88.89,-89.78,-88.72
-84 ; -33,-88.67,-89.12,-88.89,-89.02
-84 ; -30,-88.69,-88.89,-89.4,-89.05
-84 ; -27,-88.7,-88.64,-89.32,-89.13
-84 ; -24,-89.23,-88.5,-89.59,-86.27
-84 ; -21,-89.16,-89.48,-86.21,-89.5
-84 ; -18,-89.19,-89.59,-88.37,-89.0
-84 ; -15,-89.22,-89.85,-86.83,-87.5
-84 ; -12,-89.22,-89.53,-86.65,-87.8
-84 ; -9,-89.22,-88.98,-89.28,-88.75
-84 ; -6,-89.52,-88.97,-89.78,-88.97
-84 ; -3,-89.51,-89.5,-89.42,-88.96
-84 ; 0,-89.47,-89.79,-88.77,-89.52
-84 ; 3,-89.55,-89.68,-89.84,-89.82
-84 ; 6,-89.49,-89.18,-89.25,-89.14
-84 ; 9,-88.84,-89.58,-89.65,-89.04
-84 ; 12,-88.81,-89.64,-89.56,-88.97
-84 ; 15,-88.82,-88.99,-87.53,-86.01
-84 ; 18,-88.82,-88.53,-85.45,-86.39
-84 ; 21,-88.85,-88.12,-89.01,-84.85
-84 ; 24,-88.85,-87.05,-87.59,-87.56
-84 ; 27,-88.62,-87.8,-88.18,-85.89
-84 ; 30,-88.62,-87.45,-86.3,-85.11
-84 ; 33,-88.63,-87.97,-86.91,-83.88
-84 ; 36,-88.64,-85.91,-84.62,-87.97
-84 ; 39,-88.65,-88.39,-88.65,-83.99
-84 ; 42,-88.62,-87.89,-87.2,-87.93
-84 ; 45,-88.61,-88.3,-89.25,-89.44
-81 ; -45,-88.69,-88.18,-86.76,-89.65
-81 ; -42,-88.65,-88.2,-87.89,-88.03
-81 ; -39,-88.68,-88.47,-88.65,-89.6
-81 ; -36,-88.7,-88.86,-88.68,-88.41
-81 ; -33,-88.71,-88.7,-89.42,-89.41
-81 ; -30,-88.66,-88.65,-89.15,-89.06
-81 ; -27,-88.71,-88.04,-88.49,-88.37
-81 ; -24,-89.23,-89.75,-87.91,-86.27
-81 ; -21,-89.22,-89.8,-89.53,-89.57
-81 ; -18,-89.2,-89.85,-88.44,-89.12
-81 ; -15,-89.21,-89.46,-88.18,-86.86
-81 ; -12,-89.23,-88.83,-88.84,-86.75
-81 ; -9,-89.21,-89.1,-88.79,-88.46
-81 ; -6,-89.46,-89.27,-89.89,-88.06
-81 ; -3,-89.48,-89.68,-89.38,-89.04
-81 ; 0,-89.53,-89.34,-89.46,-89.58
-81 ; 3,-89.5,-89.19,-88.83,-89.48
-81 ; 6,-89.5,-89.82,-89.56,-89.33
-81 ; 9,-88.83,-89.32,-88.78,-88.84
-81 ; 12,-88.82,-88.52,-88.56,-87.1
-81 ; 15,-88.8,-88.15,-86.59,-85.27
-81 ; 18,-88.83,-87.6,-87.43,-85.77
-81 ; 21,-88.79,-86.52,-87.23,-84.98
-81 ; 24,-88.8,-87.29,-86.87,-87.46
-81 ; 27,-88.56,-86.94,-84.58,-85.39
-81 ; 30,-88.6,-87.47,-85.18,-85.2
-81 ; 33,-88.55,-85.35,-83.19,-84.18
-81 ; 36,-88.63,-87.97,-88.74,-84.83
-81 ; 39,-88.61,-87.49,-87.4,-84.46
-81 ; 42,-88.6,-87.9,-89.8,-87.56
-81 ; 45,-88.6,-87.9,-89.49,-89.52
-78 ; -45,-88.73,-88.19,-86.63,-89.01
-78 ; -42,-88.63,-88.18,-87.89,-89.44
-78 ; -39,-88.66,-88.47,-88.67,-87.31
-78 ; -36,-88.75,-88.91,-88.63,-89.52
-78 ; -33,-88.68,-88.7,-89.41,-89.69
-78 ; -30,-88.71,-88.65,-89.05,-89.5
-78 ; -27,-88.7,-88.08,-88.42,-88.98
-78 ; -24,-89.21,-89.69,-87.96,-85.13
-78 ; -21,-89.24,-89.73,-89.48,-87.44
-78 ; -18,-89.25,-89.8,-88.16,-89.07
-78 ; -15,-89.23,-89.49,-88.15,-86.38
-78 ; -12,-89.28,-88.94,-88.82,-87.27
-78 ; -9,-89.21,-89.04,-88.77,-88.41
-78 ; -6,-89.54,-89.19,-89.83,-88.32
-78 ; -3,-89.54,-89.73,-89.34,-88.74
-78 ; 0,-89.54,-89.38,-89.55,-89.41
-78 ; 3,-89.51,-89.2,-88.89,-88.88
-78 ; 6,-89.53,-89.74,-89.56,-88.6
-78 ; 9,-88.83,-89.36,-88.83,-87.74
-78 ; 12,-88.8,-88.59,-88.58,-88.44
-78 ; 15,-88.79,-88.13,-86.62,-87.49
-78 ; 18,-88.79,-87.6,-87.44,-88.26
-78 ; 21,-88.8,-86.7,-86.4,-85.16
-78 ; 24,-88.88,-87.28,-86.83,-86.9
-78 ; 27,-88.58,-86.98,-84.56,-85.39
-78 ; 30,-88.62,-87.49,-85.16,-85.63
-78 ; 33,-88.59,-85.43,-83.28,-85.46
-78 ; 36,-88.63,-87.94,-88.67,-82.9
-78 ; 39,-88.59,-87.49,-84.05,-84.66
-78 ; 42,-88.63,-87.87,-89.57,-88.94
-78 ; 45,-88.61,-87.87,-89.45,-89.57
-75 ; -45,-88.7,-88.77,-88.54,-88.69
-75 ; -42,-88.72,-88.19,-87.69,-89.64
-75 ; -39,-88.66,-88.49,-88.58,-87.4
-75 ; -36,-88.65,-88.91,-88.72,-89.8
-75 ; -33,-88.68,-88.73,-89.02,-89.59
-75 ; -30,-88.65,-88.69,-89.05,-89.24
-75 ; -27,-88.72,-88.09,-89.13,-89.51
-75 ; -24,-89.18,-89.76,-86.27,-86.65
-75 ; -21,-89.17,-89.75,-89.5,-88.08
-75 ; -18,-89.21,-89.77,-89.0,-89.15
-75 ; -15,-89.2,-89.57,-87.5,-86.67
-75 ; -12,-89.23,-88.92,-87.8,-87.31
-75 ; -9,-89.3,-89.08,-88.75,-87.97
-75 ; -6,-89.44,-89.22,-88.97,-89.53
-75 ; -3,-89.47,-89.7,-88.96,-88.61
-75 ; 0,-89.56,-89.39,-89.52,-89.45
-75 ; 3,-89.53,-89.18,-89.82,-89.61
-75 ; 6,-89.56,-89.78,-89.14,-89.69
-75 ; 9,-88.87,-89.35,-89.04,-88.7
-75 ; 12,-88.87,-88.52,-88.97,-87.86
-75 ; 15,-88.8,-88.11,-86.01,-88.1
-75 ; 18,-88.8,-87.66,-86.39,-89.7
-75 ; 21,-88.78,-86.73,-84.85,-86.96
-75 ; 24,-88.83,-87.28,-87.56,-85.89
-75 ; 27,-88.58,-86.98,-85.89,-85.74
-75 ; 30,-88.64,-87.51,-85.11,-85.22
-75 ; 33,-88.59,-85.41,-83.88,-86.47
-75 ; 36,-88.6,-87.73,-87.97,-82.26
-75 ; 39,-88.61,-87.5,-83.99,-85.47
-75 ; 42,-88.66,-87.3,-87.93,-88.2
-75 ; 45,-88.59,-87.86,-89.44,-89.15
-72 ; -45,-88.74,-89.07,-89.65,-88.61
-72 ; -42,-88.81,-88.19,-88.03,-88.37
-72 ; -39,-88.79,-88.48,-89.6,-85.56
-72 ; -36,-88.62,-88.89,-88.41,-89.63
-72 ; -33,-88.63,-88.78,-89.41,-89.49
-72 ; -30,-88.65,-88.72,-89.06,-88.76
-72 ; -27,-88.72,-88.07,-88.37,-89.75
-72 ; -24,-89.2,-89.81,-86.27,-88.32
-72 ; -21,-89.25,-89.84,-89.57,-88.07
-72 ; -18,-89.2,-89.83,-89.12,-88.59
-72 ; -15,-89.22,-89.58,-86.86,-87.95
-72 ; -12,-89.25,-89.38,-86.75,-87.12
-72 ; -9,-89.21,-89.08,-88.46,-87.24
-72 ; -6,-89.55,-89.24,-88.06,-88.81
-72 ; -3,-89.51,-89.66,-89.04,-89.27
-72 ; 0,-89.52,-89.4,-89.58,-89.56
-72 ; 3,-89.53,-89.67,-89.48,-89.78
-72 ; 6,-89.51,-89.81,-89.33,-89.69
-72 ; 9,-88.86,-89.75,-88.84,-88.5
-72 ; 12,-88.78,-88.57,-87.1,-88.77
-72 ; 15,-88.81,-88.15,-85.27,-87.42
-72 ; 18,-88.82,-87.53,-85.77,-88.65
-72 ; 21,-88.87,-86.71,-84.98,-88.74
-72 ; 24,-88.75,-87.24,-87.46,-87.52
-72 ; 27,-88.65,-86.97,-85.39,-86.64
-72 ; 30,-88.6,-87.5,-85.2,-85.22
-72 ; 33,-88.61,-85.39,-84.18,-85.92
-72 ; 36,-88.62,-86.76,-84.83,-83.25
-72 ; 39,-88.62,-87.46,-84.46,-87.22
-72 ; 42,-88.56,-87.19,-87.56,-86.86
-72 ; 45,-88.54,-87.91,-89.52,-89.37
-69 ; -45,-88.79,-89.21,-89.01,-88.46
-69 ; -42,-88.78,-88.14,-89.44,-88.45
-69 ; -39,-88.72,-88.5,-87.31,-88.1
-69 ; -36,-88.75,-88.92,-89.52,-88.99
-69 ; -33,-88.78,-89.12,-89.69,-88.68
-69 ; -30,-88.72,-88.69,-89.5,-89.45
-69 ; -27,-88.76,-88.07,-88.98,-89.13
-69 ; -24,-89.2,-89.55,-85.13,-89.32
-69 ; -21,-89.28,-89.75,-87.44,-88.45
-69 ; -18,-89.22,-89.79,-89.07,-88.19
-69 ; -15,-89.28,-89.38,-86.38,-87.99
-69 ; -12,-89.21,-89.41,-87.27,-88.38
-69 ; -9,-89.28,-89.09,-88.41,-88.89
-69 ; -6,-89.58,-88.93,-88.32,-89.58
-69 ; -3,-89.46,-89.65,-88.74,-89.67
-69 ; 0,-89.53,-89.37,-89.41,-89.57
-69 ; 3,-89.52,-89.83,-88.88,-89.54
-69 ; 6,-89.53,-89.75,-88.6,-89.29
-69 ; 9,-88.87,-89.61,-87.74,-89.69
-69 ; 12,-88.85,-88.97,-88.44,-89.57
-69 ; 15,-88.81,-88.12,-87.49,-87.61
-69 ; 18,-88.78,-88.14,-88.26,-89.56
-69 ; 21,-88.85,-86.67,-85.16,-89.74
-69 ; 24,-88.91,-87.23,-86.9,-88.64
-69 ; 27,-88.61,-87.25,-85.39,-88.07
-69 ; 30,-88.66,-87.47,-85.63,-87.03
-69 ; 33,-88.68,-85.39,-85.46,-85.58
-69 ; 36,-88.64,-86.44,-82.9,-85.36
-69 ; 39,-88.65,-87.72,-84.66,-88.16
-69 ; 42,-88.64,-87.14,-88.94,-86.34
-69 ; 45,-88.64,-87.86,-89.57,-85.89
-66 ; -45,-88.73,-89.27,-88.69,-86.73
-66 ; -42,-88.72,-88.77,-89.64,-88.21
-66 ; -39,-88.73,-88.51,-87.4,-87.32
-66 ; -36,-88.73,-88.91,-89.8,-88.83
-66 ; -33,-88.73,-88.99,-89.59,-89.45
-66 ; -30,-88.69,-88.7,-89.24,-87.77
-66 ; -27,-88.71,-87.92,-89.51,-89.14
-66 ; -24,-89.29,-89.39,-86.65,-88.23
-66 ; -21,-89.27,-89.66,-88.08,-88.97
-66 ; -18,-89.26,-89.85,-89.15,-85.62
-66 ; -15,-89.29,-89.78,-86.67,-87.33
-66 ; -12,-89.24,-89.46,-87.31,-87.53
-66 ; -9,-89.27,-89.15,-87.97,-87.47
-66 ; -6,-89.51,-88.73,-89.53,-89.42
-66 ; -3,-89.46,-89.68,-88.61,-89.6
-66 ; 0,-89.53,-89.38,-89.45,-89.52
-66 ; 3,-89.58,-89.79,-89.61,-89.36
-66 ; 6,-89.53,-89.62,-89.69,-89.3
-66 ; 9,-88.84,-89.7,-88.7,-88.89
-66 ; 12,-88.82,-89.31,-87.86,-89.63
-66 ; 15,-88.82,-88.01,-88.1,-88.32
-66 ; 18,-88.81,-88.52,-89.7,-88.42
-66 ; 21,-88.85,-86.62,-86.96,-89.85
-66 ; 24,-88.87,-87.55,-85.89,-87.04
-66 ; 27,-88.64,-87.28,-85.74,-88.76
-66 ; 30,-88.71,-87.21,-85.22,-88.3
-66 ; 33,-88.69,-85.69,-86.47,-87.21
-66 ; 36,-88.67,-85.58,-82.26,-84.48
-66 ; 39,-88.6,-87.73,-85.47,-87.66
-66 ; 42,-88.6,-87.3,-88.2,-86.41
-66 ; 45,-88.67,-87.91,-89.15,-85.84
-63 ; -45,-88.77,-89.28,-88.61,-88.79
-63 ; -42,-88.73,-88.76,-88.37,-88.2
-63 ; -39,-88.69,-87.88,-85.56,-87.48
-63 ; -36,-88.71,-89.35,-89.63,-89.16
-63 ; -33,-88.7,-88.95,-89.49,-87.98
-63 ; -30,-88.75,-88.87,-88.76,-88.54
-63 ; -27,-88.76,-88.44,-89.75,-88.73
-63 ; -24,-89.27,-88.82,-88.32,-89.5
-63 ; -21,-89.25,-89.47,-88.07,-88.4
-63 ; -18,-89.26,-89.77,-88.59,-87.51
-63 ; -15,-89.26,-89.82,-87.95,-88.42
-63 ; -12,-89.24,-89.25,-87.12,-89.37
-63 ; -9,-89.23,-89.18,-87.24,-88.85
-63 ; -6,-89.55,-88.77,-88.81,-89.36
-63 ; -3,-89.54,-89.38,-89.27,-88.56
-63 ; 0,-89.54,-89.39,-89.56,-89.31
-63 ; 3,-89.54,-89.76,-89.78,-89.41
-63 ; 6,-89.53,-89.81,-89.69,-89.65
-63 ; 9,-88.84,-89.65,-88.5,-87.88
-63 ; 12,-88.83,-89.41,-88.77,-89.66
-63 ; 15,-88.88,-88.19,-87.42,-88.85
-63 ; 18,-88.84,-88.26,-88.65,-89.15
-63 ; 21,-88.85,-87.26,-88.74,-89.24
-63 ; 24,-88.77,-87.46,-87.52,-89.15
-63 ; 27,-88.63,-87.35,-86.64,-88.45
-63 ; 30,-88.66,-87.52,-85.22,-89.02
-63 ; 33,-88.55,-86.29,-85.92,-88.62
-63 ; 36,-88.63,-85.53,-83.25,-88.26
-63 ; 39,-88.66,-86.83,-87.22,-89.59
-63 ; 42,-88.63,-87.25,-86.86,-85.57
-63 ; 45,-88.62,-87.01,-89.37,-84.49
-60 ; -45,-88.74,-88.69,-88.46,-89.09
-60 ; -42,-88.7,-88.06,-88.45,-89.06
-60 ; -39,-88.69,-88.51,-88.1,-88.14
-60 ; -36,-88.74,-89.28,-88.99,-89.43
-60 ; -33,-88.69,-88.79,-88.68,-89.12
-60 ; -30,-88.67,-88.89,-89.45,-88.29
-60 ; -27,-88.72,-88.48,-89.13,-88.59
-60 ; -24,-89.26,-89.09,-89.32,-89.53
-60 ; -21,-89.27,-89.56,-88.45,-88.97
-60 ; -18,-89.3,-89.64,-88.19,-88.43
-60 ; -15,-89.3,-89.7,-87.99,-88.57
-60 ; -12,-89.2,-89.09,-88.38,-89.13
-60 ; -9,-89.28,-89.53,-88.89,-88.16
-60 ; -6,-89.57,-88.99,-89.58,-89.55
-60 ; -3,-89.56,-89.27,-89.67,-89.71
-60 ; 0,-89.57,-89.37,-89.57,-89.72
-60 ; 3,-89.54,-89.6,-89.54,-89.38
-60 ; 6,-89.51,-89.84,-89.29,-89.16
-60 ; 9,-88.87,-89.77,-89.69,-89.33
-60 ; 12,-88.79,-89.69,-89.57,-89.64
-60 ; 15,-88.87,-88.97,-87.61,-89.24
-60 ; 18,-88.79,-88.3,-89.56,-88.8
-60 ; 21,-88.86,-87.28,-89.74,-89.22
-60 ; 24,-88.84,-87.65,-88.64,-88.6
-60 ; 27,-88.65,-87.0,-88.07,-88.26
-60 ; 30,-88.6,-87.55,-87.03,-89.19
-60 ; 33,-88.65,-86.56,-85.58,-89.01
-60 ; 36,-88.62,-85.35,-85.36,-88.22
-60 ; 39,-88.67,-86.57,-88.16,-89.85
-60 ; 42,-88.62,-86.45,-86.34,-88.57
-60 ; 45,-88.57,-87.3,-85.89,-86.89
-57 ; -45,-88.72,-88.58,-86.73,-89.66
-57 ; -42,-88.76,-88.48,-88.21,-89.27
-57 ; -39,-88.7,-88.12,-87.32,-88.48
-57 ; -36,-88.71,-89.41,-88.83,-89.17
-57 ; -33,-88.71,-88.95,-89.45,-89.59
-57 ; -30,-88.71,-88.72,-87.77,-88.49
-57 ; -27,-88.71,-89.02,-89.14,-88.17
-57 ; -24,-89.22,-89.11,-88.23,-89.84
-57 ; -21,-89.27,-89.83,-88.97,-89.6
-57 ; -18,-89.28,-89.46,-85.62,-89.77
-57 ; -15,-89.27,-89.74,-87.33,-88.36
-57 ; -12,-89.25,-89.46,-87.53,-89.77
-57 ; -9,-89.25,-89.21,-87.47,-89.0
-57 ; -6,-89.56,-88.91,-89.42,-88.91
-57 ; -3,-89.54,-89.48,-89.6,-89.05
-57 ; 0,-89.56,-89.47,-89.52,-89.67
-57 ; 3,-89.5,-89.51,-89.36,-89.01
-57 ; 6,-89.52,-89.79,-89.3,-89.12
-57 ; 9,-88.82,-89.4,-88.89,-87.47
-57 ; 12,-88.88,-89.86,-89.63,-89.22
-57 ; 15,-88.82,-89.71,-88.32,-89.84
-57 ; 18,-88.82,-89.31,-88.42,-89.21
-57 ; 21,-88.83,-88.07,-89.85,-87.76
-57 ; 24,-88.85,-87.51,-87.04,-87.76
-57 ; 27,-88.59,-87.74,-88.76,-86.64
-57 ; 30,-88.64,-87.57,-88.3,-88.8
-57 ; 33,-88.62,-86.81,-87.21,-85.5
-57 ; 36,-88.65,-85.96,-84.48,-89.04
-57 ; 39,-88.61,-86.88,-87.66,-89.28
-57 ; 42,-88.63,-87.14,-86.41,-89.43
-57 ; 45,-88.63,-87.56,-85.84,-88.84
-54 ; -45,-88.7,-88.79,-88.79,-88.76
-54 ; -42,-88.74,-88.86,-88.2,-89.45
-54 ; -39,-88.68,-88.2,-87.48,-87.76
-54 ; -36,-88.7,-88.85,-89.16,-89.71
-54 ; -33,-88.7,-88.13,-87.98,-89.57
-54 ; -30,-88.65,-88.93,-88.54,-89.42
-54 ; -27,-88.68,-89.02,-88.73,-89.14
-54 ; -24,-89.25,-89.48,-89.5,-89.06
-54 ; -21,-89.26,-89.64,-88.4,-88.28
-54 ; -18,-89.28,-89.54,-87.51,-89.59
-54 ; -15,-89.25,-89.75,-88.42,-89.64
-54 ; -12,-89.22,-89.57,-89.37,-89.67
-54 ; -9,-89.19,-89.3,-88.85,-89.76
-54 ; -6,-89.61,-89.0,-89.36,-89.53
-54 ; -3,-89.56,-89.47,-88.56,-89.9
-54 ; 0,-89.51,-89.39,-89.31,-89.71
-54 ; 3,-89.55,-89.61,-89.41,-88.97
-54 ; 6,-89.53,-89.9,-89.65,-89.72
-54 ; 9,-88.83,-89.55,-87.88,-89.28
-54 ; 12,-88.84,-89.8,-89.66,-88.75
-54 ; 15,-88.82,-89.61,-88.85,-89.22
-54 ; 18,-88.82,-89.18,-89.15,-89.45
-54 ; 21,-88.8,-88.59,-89.24,-87.28
-54 ; 24,-88.78,-87.24,-89.15,-86.65
-54 ; 27,-88.59,-87.75,-88.45,-86.38
-54 ; 30,-88.65,-87.58,-89.02,-88.75
-54 ; 33,-88.57,-86.76,-88.62,-85.97
-54 ; 36,-88.59,-87.04,-88.26,-86.75
-54 ; 39,-88.65,-87.17,-89.59,-88.55
-54 ; 42,-88.57,-86.92,-85.57,-89.41
-54 ; 45,-88.63,-86.58,-84.49,-89.08
-51 ; -45,-88.7,-88.81,-89.09,-84.79
-51 ; -42,-88.73,-88.83,-89.06,-88.79
-51 ; -39,-88.72,-88.28,-88.14,-88.42
-51 ; -36,-88.74,-88.88,-89.43,-88.65
-51 ; -33,-88.76,-88.89,-89.12,-89.5
-51 ; -30,-88.77,-88.11,-88.29,-89.3
-51 ; -27,-88.73,-88.92,-88.59,-85.88
-51 ; -24,-89.26,-89.6,-89.53,-88.94
-51 ; -21,-89.26,-89.75,-88.97,-88.85
-51 ; -18,-89.28,-89.49,-88.43,-89.01
-51 ; -15,-89.21,-89.49,-88.57,-89.17
-51 ; -12,-89.23,-89.75,-89.13,-88.47
-51 ; -9,-89.23,-89.58,-88.16,-88.46
-51 ; -6,-89.58,-89.32,-89.55,-87.61
-51 ; -3,-89.51,-89.38,-89.71,-88.39
-51 ; 0,-89.57,-89.35,-89.72,-89.76
-51 ; 3,-89.54,-89.51,-89.38,-87.45
-51 ; 6,-89.48,-89.81,-89.16,-89.18
-51 ; 9,-88.81,-89.46,-89.33,-86.38
-51 ; 12,-88.85,-89.83,-89.64,-89.12
-51 ; 15,-88.81,-89.58,-89.24,-87.63
-51 ; 18,-88.84,-89.61,-88.8,-87.71
-51 ; 21,-88.81,-88.73,-89.22,-86.88
-51 ; 24,-88.83,-88.64,-88.6,-86.46
-51 ; 27,-88.64,-88.33,-88.26,-85.96
-51 ; 30,-88.59,-88.0,-89.19,-84.49
-51 ; 33,-88.6,-86.71,-89.01,-82.25
-51 ; 36,-88.6,-86.75,-88.22,-85.25
-51 ; 39,-88.59,-86.93,-89.85,-86.72
-51 ; 42,-88.61,-87.18,-88.57,-86.61
-51 ; 45,-88.63,-87.12,-86.89,-89.11
-48 ; -45,-88.68,-88.9,-89.66,-88.53
-48 ; -42,-88.69,-88.5,-89.27,-87.21
-48 ; -39,-88.7,-88.13,-88.48,-87.89
-48 ; -36,-88.74,-88.89,-89.17,-88.9
-48 ; -33,-88.69,-88.91,-89.59,-89.55
-48 ; -30,-88.71,-88.26,-88.49,-87.04
-48 ; -27,-88.71,-88.13,-88.17,-88.09
-48 ; -24,-89.18,-89.12,-89.84,-89.47
-48 ; -21,-89.25,-89.56,-89.6,-88.01
-48 ; -18,-89.25,-89.57,-89.77,-88.71
-48 ; -15,-89.29,-89.54,-88.36,-89.49
-48 ; -12,-89.22,-89.8,-89.77,-89.55
-48 ; -9,-89.31,-89.76,-89.0,-88.23
-48 ; -6,-89.55,-89.39,-88.91,-86.18
-48 ; -3,-89.53,-89.13,-89.05,-89.46
-48 ; 0,-89.53,-89.41,-89.67,-89.54
-48 ; 3,-89.52,-89.41,-89.01,-89.28
-48 ; 6,-89.5,-89.8,-89.12,-89.76
-48 ; 9,-88.81,-88.98,-87.47,-86.48
-48 ; 12,-88.86,-89.47,-89.22,-88.81
-48 ; 15,-88.77,-89.6,-89.84,-89.49
-48 ; 18,-88.84,-89.62,-89.21,-88.78
-48 ; 21,-88.8,-88.85,-87.76,-88.41
-48 ; 24,-88.78,-88.79,-87.76,-86.7
-48 ; 27,-88.6,-89.07,-86.64,-84.78
-48 ; 30,-88.63,-88.27,-88.8,-86.64
-48 ; 33,-88.61,-86.78,-85.5,-84.2
